search_func,size,hit,times
Binary,1000,HIT,2.8799986466765404e-05
Binary,1000,HIT,2.859998494386673e-05
Binary,1000,HIT,2.850010059773922e-05
Binary,1000,HIT,2.8199981898069382e-05
Binary,1000,HIT,2.7800211682915688e-05
Binary,1000,HIT,2.8099864721298218e-05
Binary,5000,HIT,3.829994238913059e-05
Binary,5000,HIT,3.0099879950284958e-05
Binary,5000,HIT,2.9999995604157448e-05
Binary,5000,HIT,2.9799994081258774e-05
Binary,5000,HIT,2.9900111258029938e-05
Binary,5000,HIT,3.0399998649954796e-05
Binary,5000,HIT,2.9999995604157448e-05
Binary,5000,HIT,2.95999925583601e-05
Binary,5000,HIT,3.0399998649954796e-05
Binary,5000,HIT,3.0100112780928612e-05
Binary,10000,HIT,3.6899931728839874e-05
Binary,10000,HIT,3.060000017285347e-05
Binary,10000,HIT,2.9999995604157448e-05
Binary,10000,HIT,2.9900111258029938e-05
Binary,10000,HIT,3.0199997127056122e-05
Binary,10000,HIT,3.0199997127056122e-05
Binary,10000,HIT,2.9899878427386284e-05
Binary,10000,HIT,3.0899886041879654e-05
Binary,10000,HIT,2.9700109735131264e-05
Binary,10000,HIT,3.0300114303827286e-05
Binary,50000,HIT,3.6700163036584854e-05
Binary,50000,HIT,3.0300114303827286e-05
Binary,50000,HIT,3.0199997127056122e-05
Binary,50000,HIT,2.9900111258029938e-05
Binary,50000,HIT,2.9999995604157448e-05
Binary,50000,HIT,2.95999925583601e-05
Binary,50000,HIT,2.950010821223259e-05
Binary,50000,HIT,2.9299873858690262e-05
Binary,50000,HIT,2.9700109735131264e-05
Binary,50000,HIT,2.9399991035461426e-05
Binary,100000,HIT,4.109996370971203e-05
Binary,100000,HIT,3.219977952539921e-05
Binary,100000,HIT,3.229989670217037e-05
Binary,100000,HIT,3.190012648701668e-05
